,Title,Publication Date,Author,Genre,Average Rating,Number of Ratings,Pages,Rank,Language,Currently Reading,Want to Read
1227,Kiki's Memoirs,"First published January 1, 1929",Kiki de Montparnasse,Biography,3.95,175 ratings,"298 pages, Hardcover",24,English,2 people are currently reading,657 people want to read
1228,The Penguin Book of American Short Stories,"First published January 1, 1969",James Cochrane,Short Stories,3.63,187 ratings,"423 pages, Paperback",25,,35 people are currently reading,427 people want to read
1229,The Quotable Book Lover,"First published January 1, 1999",Ben Jacobs,Books About Books,3.72,169 ratings,"258 pages, Kindle Edition",26,,63 people are currently reading,304 people want to read
1230,The Writer's Chapbook: A Compendium of Fact...from the 20th Century's Preeminent Writers,"First published June 7, 1989",George Plimpton,Writing,4.17,144 ratings,"400 pages, Paperback",27,English,12 people are currently reading,599 people want to read
1231,War,"First published October 6, 2020",Shaun Usher,History,4.05,147 ratings,Audible Audio,28,,15 people are currently reading,185 people want to read
1232,Петдесет велики разказвачи,"First published January 1, 2011",John Steinbeck,Short Stories,4.32,116 ratings,"380 pages, Paperback",29,Bulgarian,8 people are currently reading,95 people want to read
1233,Ernest Hemingway's the Old Man and the Sea,"First published January 1, 1997",Laurie E. Rozakis,Classics,3.93,118 ratings,"47 pages, Paperback",30,English,3 people are currently reading,70 people want to read
1234,المختار من أجمل القصص العالمية,"186 pages, Paperback",رشاد رشدي,Literature,3.35,130 ratings,"186 pages, Paperback",1,,19 people are currently reading,429 people want to read
1235,Yazarın Odası 1,"First published January 1, 2009",Philip Gourevitch,Nonfiction,4.25,99 ratings,"304 pages, Paperback",2,Turkish,5 people are currently reading,195 people want to read
1236,"Writers at work : the Paris review interviews, second series","First published January 1, 1963",George Plimpton,Writing,4.24,80 ratings,Paperback,4,English,7 people are currently reading,177 people want to read
1237,Great American Short Stories,"First published January 1, 2009",H. Bodden,Short Stories,3.95,83 ratings,"65 pages, Paperback",5,English,29 people are currently reading,132 people want to read
1238,زن‍دگ‍ی‌ ب‍رادرم‌ ارن‍س‍ت‌ ه‍م‍ی‍ن‍گ‍وی‌,"First published January 1, 1963",Leicester Hemingway,Nonfiction,3.64,89 ratings,"188 pages, Paperback",6,,12 people are currently reading,137 people want to read
1239,Kilimandžāro sniegi : angļu un amerikāņu rakstnieku stāstu izlase,"First published January 22, 1965",Ray Bradbury,Short Stories,3.70,82 ratings,"232 pages, Paperback",8,,2 people are currently reading,55 people want to read
1240,Leurs yeux se rencontrèrent,"First published February 12, 2003",Louis Aragon,Novels,3.48,86 ratings,"134 pages, Paperback",9,French,4 people are currently reading,85 people want to read
1241,Ernest Hemingway's The Sun Also Rises,"First published January 1, 1995",Harold Bloom,,3.34,87 ratings,"72 pages, Paperback",10,English,,
1242,"""Ma chère maman..."": De Baudelaire à Saint-Exupéry, des lettres d'écrivains","First published May 1, 2002",Charles Baudelaire,Classics,3.14,90 ratings,"114 pages, Paperback",11,French,2 people are currently reading,86 people want to read
1243,Masterpieces of Short Fiction,"First published January 1, 2008",Michael Krasny,Short Stories,4.06,64 ratings,Audible Audio,13,,6 people are currently reading,59 people want to read
1244,Ernest Hemingway's 'For Whom The Bell Tolls': A Critical Commentary,"First published August 15, 1983",Lawrence Hadfield Klibbe,Fiction,3.75,68 ratings,"48 pages, Paperback",14,English,1 person is currently reading,29 people want to read
1245,Най-вълнуващите любовни истории,"First published January 1, 2015",F. Scott Fitzgerald,Classics,3.26,78 ratings,"173 pages, Paperback",15,Bulgarian,6 people are currently reading,75 people want to read
1246,Ernest Hemingway's a Farewell to Arms,"First published October 1, 1985",Harold Bloom,Classics,3.79,66 ratings,"90 pages, Paperback",16,English,2 people are currently reading,62 people want to read
1247,Cuentos para leer los sábados,"First published November 1, 2015",Jorge Luis Borges,,3.53,70 ratings,"336 pages, Paperback",17,Spanish; Castilian,,
1248,The Signet Classic Book of American Short Stories,"First published February 1, 1985",Various,Short Stories,3.90,61 ratings,"557 pages, Mass Market Paperback",18,English,8 people are currently reading,103 people want to read
1249,(داستان و نقد داستان (جلد یکم,"First published January 1, 1992",احمد گلشیری,Short Stories,3.89,55 ratings,"532 pages, Hardcover",19,Persian,14 people are currently reading,145 people want to read
1250,كلب بني غامق,"First published January 1, 2006",فؤاد قنديل,Short Stories,2.58,79 ratings,"159 pages, Paperback",20,Arabic,6 people are currently reading,113 people want to read
1251,Ο παράδεισος των γάτων,"First published November 1, 2016",Rudyard Kipling,Short Stories,3.62,55 ratings,"168 pages, Paperback",21,"Greek, Modern (1453-)",2 people are currently reading,60 people want to read
1252,Stary człowiek i morze. Opracowanie,"Published January 1, 2010",Unknown,,2.60,72 ratings,Paperback,22,Polish,,
1253,Discursos Premios Nobel: Tomo 1,"First published October 8, 2014",Ivan Beltran,,3.81,47 ratings,"112 pages, Kindle Edition",23,,,
1254,Cuentos norteamericanos clásicos y modernos ilustrados,"First published January 1, 2002",Truman Capote,Short Stories,3.83,46 ratings,"219 pages, Hardcover",24,Spanish; Castilian,2 people are currently reading,79 people want to read
1255,Smásögur heimsins - Norður-Ameríka,"First published April 19, 2016",Sherwood Anderson,Short Stories,4.10,42 ratings,"264 pages, Paperback",25,,3 people are currently reading,23 people want to read
1256,Ernest Hamingway's the Sun Also Rises,"First published October 1, 1984",Robert Dunn,,4.08,40 ratings,"88 pages, Paperback",26,English,,
1257,Cuentos con gatos,"First published January 1, 2018",Maeve Brennan,,3.56,45 ratings,"288 pages, Paperback",28,Spanish; Castilian,,
1258,مختارات قصصية لأدباء جائزة نوبل,"First published January 1, 2014",Pearl S. Buck,,2.78,54 ratings,"194 pages, Paperback",29,Arabic,,
1259,More Stories to Remember : Volume I,"First published January 1, 1958",James Hilton,Short Stories,4.14,36 ratings,"440 pages, Hardcover",30,,4 people are currently reading,48 people want to read
1260,کشتی‌شکسته‌ها,"First published April 1, 1955",ابراهیم گلستان,Short Stories,3.44,43 ratings,"156 pages, Paperback",1,,1 person is currently reading,99 people want to read
1261,This Must Be the Place,"First published January 1, 1937",Morrill Cody,Memoir,3.74,39 ratings,320 pages,2,,122 people want to read,
1262,Obscura: Merapat Renggang,"First published January 1, 2013",Ibrahim Yaacob,,3.68,37 ratings,"140 pages, Paperback",3,Malay,,
1263,الرعديد,"First published January 1, 2014",Anton Chekhov,Short Stories,3.67,36 ratings,"201 pages, Paperback",4,,4 people are currently reading,30 people want to read
1264,America - Numéro 3,"First published September 27, 2017",François Busnel,,4.37,30 ratings,"194 pages, Paperback",5,French,,
1265,(داستان و نقدِ داستان (جلدِ دوّم,"First published January 1, 1992",احمد گلشیری,Short Stories,4.13,30 ratings,"578 pages, Hardcover",6,Persian,5 people are currently reading,50 people want to read
1266,Άνθρωποι και γάτες,"Published November 16, 2006",Rudyard Kipling,,3.77,30 ratings,"95 pages, Paperback",7,"Greek, Modern (1453-)",,
1267,Teorías de los cuentistas,"First published January 1, 1993",Lauro Zavala,,4.40,25 ratings,"395 pages, Paperback",8,,,
1268,Imaginative Literature,"First published January 1, 1963",Robert Maynard Hutchins,Classics,4.12,25 ratings,"551 pages, Hardcover",9,,5 people are currently reading,58 people want to read
1269,آخرین خنده,"Published January 1, 1999",Katherine Mansfield,,3.19,31 ratings,"232 pages, Paperback",10,,,
1270,Ernest Hemingway's After the Storm: The Story plus the Screenplay and a Commentary,"First published February 15, 2001",A.E. Hotchner,Nonfiction,3.20,30 ratings,"160 pages, Paperback",12,English,2 people are currently reading,58 people want to read
1271,بی بی پیک,"Published January 1, 2002",Alexander Pushkin,,3.41,27 ratings,"171 pages, Paperback",13,Persian,,
1272,Wojna. Antologia reportażu wojennego,"First published October 23, 2023",Wojciech Jagielski,Nonfiction,4.94,18 ratings,"1100 pages, Paperback",14,Polish,29 people are currently reading,180 people want to read
1273,Very Short Stories,"First published November 1, 2006",Wired,Short Stories,3.95,22 ratings,"7 pages, ebook",15,,1 person is currently reading,256 people want to read
1274,مختارات من كتاب نوبل : همنجواي، ليسنج، مولر,"First published January 1, 2010",حسين عيد,,3.19,27 ratings,"148 pages, Paperback",16,,,
1275,Χριστουγεννιάτικο δείπνο,"Published November 1, 2012",Mark Twain,,3.58,24 ratings,"304 pages, Hardcover",17,"Greek, Modern (1453-)",,
1276,An F. Scott Fitzgerald Companion,"First published January 1, 2000",John Peale Bishop,Nonfiction,3.68,22 ratings,"91 pages, Paperback",18,English,22 people want to read,
1277,Maailmankirjallisuuden mestarinovelleja,"First published January 1, 1961",Aulis Ojajärvi,Short Stories,3.48,23 ratings,"308 pages, Hardcover",20,,3 people are currently reading,25 people want to read
1278,هنر داستان‌نویسی: گزیده‌ای از گفت‌وگو با نویسندگان در پاریس‌ریویو,"First published January 1, 2010",حسن کامشاد,,3.55,22 ratings,"343 pages, Paperback",21,Persian,,
1279,Elements of Literature: The Old Man and the Sea,"First published January 1, 1989",Donna Reardon,Classics,3.90,20 ratings,"36 pages, Paperback",22,,1 person is currently reading,55 people want to read
1280,Apsakymai. Kam skambina varpai,"First published January 1, 1991",Sherwood Anderson,,4.17,18 ratings,"622 pages, Leather Bound",23,Lithuanian,,
1281,CliffsNotes on Hemingway's A Farewell to Arms,"First published August 1, 1966",James Lamar Roberts,Fiction,3.75,20 ratings,"115 pages, Paperback",24,English,1 person is currently reading,27 people want to read
1282,Best Horror Stories,"First published January 1, 1977",Lynn Picknett,Horror,3.65,20 ratings,"751 pages, Hardcover",25,English,4 people are currently reading,63 people want to read
1283,Modern American Short Stories,"First published January 1, 1987",Ferdinand Schunck,Short Stories,3.43,21 ratings,"160 pages, Perfect Paperback",26,English,21 people want to read,
1284,Maut Lebih Kejam daripada Cinta,"Published August 15, 2017",Gabriel García Márquez,,3.50,20 ratings,"280 pages, Paperback",27,Indonesian,,
1285,The Killing Spirit: An Anthology of Murder of Hire,"First published November 1, 1996",Jay Hopler,,3.63,19 ratings,"323 pages, Kindle Edition",28,,,
1286,At the Hemingways,"First published January 1, 1962",Marcelline Hemingway Sanford,,3.45,20 ratings,"397 pages, Hardcover",29,English,,
1287,داستان و نقد داستان: جلد سوم,"First published January 1, 1992",احمد گلشیری,,4.06,17 ratings,"536 pages, Hardcover",1,Persian,,
1288,The Ultimate Short Story Bundle,"Published September 14, 2020",Katherine Mansfield,Short Stories,4.43,14 ratings,Kindle Edition,2,,123 people are currently reading,38 people want to read
1289,Florida Stories: Tales from the Tropics,"First published October 1, 1993",John Miller,,3.59,17 ratings,"176 pages, Paperback",3,English,,
1290,El cuento norteamericano contemporáneo,"Published October 1, 1991",Sherwood Anderson,,3.16,19 ratings,"139 pages, Paperback",4,,,
1291,Vendrá la muerte y tendrá tus ojos. 33 poetas suicidas.,"First published January 1, 1989",Luis la Hoz,,3.63,16 ratings,"202 pages, Paperback",5,,,
1292,ამერიკული მოთხრობები,"First published January 1, 1987",Washington Irving,Short Stories,3.63,16 ratings,"396 pages, Hardcover",6,Georgian,2 people are currently reading,54 people want to read
1293,Запомни как ме обичаш,"First published February 1, 2018",Jack London,,2.71,21 ratings,"154 pages, Paperback",7,Bulgarian,,
1294,50 Great Short Stories,"Published January 1, 1952",Nathaniel Hawthorne,Short Stories,3.56,16 ratings,"470 pages, Hardcover",8,,6 people are currently reading,24 people want to read
1295,Nobeller - noveller av nobelpristagare,"First published January 1, 2007",Gun Ekeroth,Short Stories,3.44,16 ratings,"271 pages, Hardcover",9,Swedish,2 people are currently reading,21 people want to read
1296,برنده ى اسب چوبى و چند داستان ديگر,"Published January 1, 2007",على خزائى‌فر,,3.60,15 ratings,"149 pages, Paperback",10,Persian,,
1297,Stories of Initiation.,"First published January 1, 1986",Wolfgang Staeck,,3.38,16 ratings,"71 pages, Paperback",11,English,,
1298,An Anthology of Famous American Stories,"First published January 1, 1953",Angus Burrell,Short Stories,3.53,15 ratings,"1358 pages, Hardcover",13,,1 person is currently reading,64 people want to read
1299,An Istanbul Anthology: Travel Writing through the Centuries,"First published October 30, 2015",Kaya Genç,Nonfiction,4.25,12 ratings,"160 pages, Hardcover",14,English,1 person is currently reading,69 people want to read
1300,Great American Short Stories,"Published June 22, 2009",Ambrose Bierce,,3.06,16 ratings,"71 pages, Paperback",15,,,
1301,A Hemingway Odyssey: Special Places in His Life,"First published May 1, 1999",H. Lea Lawrence,,3.00,16 ratings,"212 pages, Paperback",16,English,,
1302,Ernest Hemingway's the Old Man and the Sea,"First published October 1, 1984",Jim Auer,,3.69,13 ratings,"106 pages, Paperback",18,English,,
1303,Tropical Bar Book: Drinks & Stories,"First published January 1, 1986",Charles Schumann,,3.92,12 ratings,"159 pages, Hardcover",19,English,,
1304,S.O.S: Chilling Tales of Adventure on the High Seas,"First published March 1, 2001",Sara Nickles,Nonfiction,3.62,13 ratings,"256 pages, Paperback",20,English,84 people want to read,
1305,قصص من الأدب العالمي,"Published January 1, 2017",مهدي عبد الله,,2.93,15 ratings,"212 pages, Mass Market Paperback",22,,,
1306,"The Sun Also Rises, the Snows of Kilimanjaro and Other Works","First published January 1, 1926",Coles Notes,Fiction,3.82,11 ratings,"First published January 1, 1926",23,,11 people want to read,
1307,Twenty-Nine Stories,"First published January 1, 1960",William Peden,Short Stories,3.64,11 ratings,"374 pages, Paper Back",24,,2 people are currently reading,27 people want to read
1308,A Farewell to Arms,"First published June 1, 2007",SparkNotes,,4.33,9 ratings,"113 pages, Kindle Edition",25,English,,
1309,The Sun Also Rises,"Published July 15, 2002",SparkNotes,,4.33,9 ratings,"72 pages, Paperback",26,English,,
1310,In Transition: A Paris Anthology,"First published May 21, 1990",Noël Riley Fitch,,3.90,10 ratings,"256 pages, Hardcover",27,English,,
1311,Nouvelles anglaises et américaines : English and American Short Stories of Today : Volume 2,"Published February 5, 2004",H.E. Bates,,3.55,11 ratings,Pocket Book,28,French,,
1312,Classic Stories of World War I,"First published January 1, 1989",Editors of Canterbury Classics,Classics,3.00,13 ratings,"256 pages, Flexibound",29,English,7 people are currently reading,70 people want to read
1313,"50 Best American Short Stories, 1915-1939","First published January 1, 1939",Edward Joseph Harrington O'Brien,Short Stories,4.00,9 ratings,"868 pages, Hardcover",30,,66 people want to read,
1314,More Modern Short Stories: For students of English,"Published January 1, 1996",Peter J.W. Taylor,,3.30,10 ratings,Paperback,1,English,,
1315,นับหนึ่ง,"First published March 28, 2014",ร. จันเสน,Literature,4.00,8 ratings,"342 pages, Hardcover",2,Thai,2 people are currently reading,17 people want to read
1316,101 Great Short Stories,"First published January 1, 2004",Guy de Maupassant,,3.75,8 ratings,"1215 pages, Kindle Edition",3,English,,
1317,Discursos Premios Nobel: Tomo 1,"Published November 29, 2010",Amparo Osorio,,4.14,7 ratings,"144 pages, Paperback",4,Spanish; Castilian,,
1318,Nobel-noveller,"Published January 1, 2020",Alice Munro,,3.63,8 ratings,105 pages,5,Danish,,
1319,Noveller för Världens Barn 2009,"First published September 17, 2009",Mats Söderlund,,3.22,9 ratings,"336 pages, Hardcover",6,Swedish,,
1320,20 Great American Short Stories,"Published January 1, 2003",Edgar Allan Poe,,3.86,7 ratings,"292 pages, Paperback",7,English,,
1321,Years of protest: A collection of American writings of the 1930's,"First published January 1, 1967",James Agee,,3.57,7 ratings,"448 pages, Paperback",8,,,
1322,Еволюция на смеха: Сборник разкази II,"First published January 1, 2012",Ryūnosuke Akutagawa,,4.17,6 ratings,"400 pages, Paperback",9,Bulgarian,,
1323,The Banned Books Compendium: 32 Classic Forbidden Books,"Published February 8, 2023",Grigory Lukin,,4.80,5 ratings,"14265 pages, Kindle Edition",10,,,
1324,The Penguin Book of War: Great Military Writings,"First published January 1, 1999",John Keegan,History,4.00,6 ratings,"492 pages, Paperback",11,English,2 people are currently reading,110 people want to read
1325,ده گفت‌و‌گو,"First published January 1, 1990",احمد پوری,,2.88,8 ratings,"187 pages, Paperback",12,Persian,,
1326,Reader's Digest Condensed Books 1985 - Proof / The Old Man and the Sea / Stillwatch / The Summer of the Barshinskeys,"First published January 1, 1985",Dick Francis,Classics,3.50,6 ratings,"512 pages, Hardcover",13,,1 person is currently reading,24 people want to read
1327,"Kule, gradovi: majstori kratke proze od Gogolja do Fostera Volasa","Published January 1, 2013",Arijana Božović,,4.20,5 ratings,"512 pages, Paperback",14,Serbian,,
1328,Karácsonyi emlék: Angolszász elbeszélések,"Published January 1, 1995",Charles Dickens,,4.20,5 ratings,"264 pages, Hardcover",15,Hungarian,,
1329,Great First World War Stories,"First published January 1, 1930",John Galsworthy,World War I,3.33,6 ratings,"704 pages, Hardcover",16,English,1 person is currently reading,48 people want to read
1330,Lektürehilfen A Farewell to Arms,"Published January 1, 1990",H.R. Berridge,Fiction,2.71,7 ratings,Paperback,18,English,7 people want to read,
1331,Ficções: de férias,"First published July 1, 2001",Luísa Costa Gomes,,3.80,5 ratings,"150 pages, Paperback",19,Portuguese,,
1332,Modern amerikansk berättarkonst,"First published January 1, 1965",Göran Printz-Påhlson,,3.00,6 ratings,"232 pages, Paperback",20,,,
1333,Karavane,"First published January 1, 2001",Gordon Hølmebakk,,3.60,5 ratings,"676 pages, Innbundet",21,Norwegian,,
1334,Joan Miro,"First published June 1, 1976",Clement Greenberg,,4.25,4 ratings,"136 pages, Hardcover",22,English,,
1335,Ernest Hemingway's for Whom the Bell Tolls,"First published December 2, 1985",Jim Auer,,4.25,4 ratings,"130 pages, Paperback",23,English,,
1336,En primera persona,"Published January 1, 2009",Kapelusz,,3.40,5 ratings,"150 pages, Paperback",24,Spanish; Castilian,,
1337,Noveller för Världens Barn 2007,"Published January 1, 2007",Gun Ekroth,,4.00,4 ratings,"317 pages, Hardcover",25,Swedish,,
1338,Венеция. Город любви и смерти. Выпуск 2,"First published January 1, 1999",Thomas Mann,,4.00,4 ratings,"320 pages, Hardcover",26,,,
1339,خانه‌ای برای فرزندانم,"First published January 1, 1989",محسن سلیمانی,,4.00,4 ratings,"135 pages, Paperback",27,,,
1340,ส้มจากซิซิลี,"Published September 1, 2017",Luigi Pirandello,,4.00,4 ratings,"320 pages, Paperback",28,Thai,,
1341,"The Best Short Stories of All Time, Volume VI","Published March 30, 2020",F. Scott Fitzgerald,,3.20,5 ratings,"142 pages, Kindle Edition",29,,,
1342,Die besten klassischen und modernen Gruselgeschichten von Poe bis Hemingway,"First published January 1, 1968",Mary Hottinger,,3.20,5 ratings,"456 pages, Hardcover",30,German,,
1343,Best of Classic Fiction-2: Timeless Tales of Brave New Worlds and Plagues,"Published November 25, 2022",Aldous Huxley,,5.00,3 ratings,"481 pages, Kindle Edition",1,,,
1344,مرگ یک فروشنده دوره‌گرد و دو داستان کوتاه دیگر,"Published April 1, 2017",Eudora Alice Welty,,2.50,6 ratings,"64 pages, Paperback",2,,,
1345,قطة في المطر,"Published July 1, 2023",رضوى أحمد عيد,,3.75,4 ratings,"15 pages, ebook",3,,,
1346,Novellin parhaita,"Published January 1, 1971",Pekka Tarkka,Short Stories,4.67,3 ratings,"234 pages, Paperback",4,,5 people want to read,
1347,100 Years of Fishing: The Ultimate Tribute to Our Fishing Tradition,"First published July 1, 2002",Amy Rost-Holtz,,2.60,5 ratings,"223 pages, Hardcover",5,English,,
1348,Ficções: de filmes,"First published January 1, 2005",Luísa Costa Gomes,,3.25,4 ratings,"203 pages, Paperback",6,Portuguese,,
1349,რატომ ვკითხულობთ წიგნებს,"Published January 1, 2015",Alberto Moravia,,3.25,4 ratings,"178 pages, Paperback",7,Georgian,,
1350,Maravilhas do Conto Norte-Americano,"First published January 1, 1958",Washington Irving,,4.33,3 ratings,"334 pages, Hardcover",8,,,
1351,"The Paris Review, Issue 176, Spring 2006","First published March 1, 2006",Philip Gourevitch,,3.25,4 ratings,"184 pages, Perfectbound",9,English,,
1352,Less Is More: Minimalism in Architecture and Other Arts,"First published March 15, 2001",Marco De Michelis,Architecture,4.00,3 ratings,"190 pages, Hardcover",10,English,8 people want to read,
1353,Autumn Light: Illuminations of Age,"First published September 1, 1978",L.M. Schulman,Fiction,4.00,3 ratings,"200 pages, Hardcover",11,English,9 people want to read,
1354,Un monde plus grand...,"First published January 1, 2000",Paul Bowles,Short Stories,3.00,4 ratings,"159 pages, Paperback",12,,1 person is currently reading,2 people want to read
1355,Endlich Weihnachten! Geschichten über die schrecklich-schönste Zeit des Jahres,"First published October 24, 2014",Daniel Kampa,,2.40,5 ratings,"288 pages, Paperback",13,German,,
1356,CliffsNotes on Hemingway's Short Stories,"First published April 19, 2000",James Lamar Roberts,,3.67,3 ratings,"96 pages, Paperback",14,English,,
1357,Cuentos y relatos norteamericanos del siglo XX,"Published January 1, 1982",Luis Miguel Aguilar,,3.67,3 ratings,"390 pages, Paperback",15,Spanish; Castilian,,
1358,Yön ja päivän kartta – novelleja ja tulkintoja,"First published January 1, 1993",Juhani Aho,,2.75,4 ratings,230 pages,16,Finnish,,
1359,Sang Pendeta Dan Kekasihnya,"First published December 1, 2001",Sapardi Djoko Damono,,3.67,3 ratings,"150 pages, Paperback",17,Indonesian,,
1360,Os Assassinos,"First published September 15, 2013",Cássio Starling Carlos,,2.75,4 ratings,"64 pages, Hardcover",18,Portuguese,,
1361,Antología del cuento tradicional y moderno,"Published April 1, 1978",Jaime Rest,,3.33,3 ratings,"197 pages, Paperback",19,,,
1362,Studio: Europe,"Published January 1, 1945",John Groth,,5.00,2 ratings,"283 pages, Hardcover",20,,,
1363,The Great Crusade,"First published January 1, 1940",Gustav Regler,,5.00,2 ratings,"488 pages, Hardcover",21,,,
1364,Great Short Masterpieces of Mystery: The Murder By John Steinbeck and 25 other Stories,"First published January 1, 1950",Ellery Queen,Short Stories,5.00,2 ratings,"405 pages, Hardcover",22,,21 people want to read,
1365,Berømte noveller,"First published January 1, 1981",John Steinbeck,,3.00,3 ratings,"718 pages, Hardcover",24,Norwegian,,
1366,Sällsamma katter,"Published May 1, 2000",Evastina Törnqvist,,3.00,3 ratings,"238 pages, Hardcover",26,Swedish,,
1367,Cliffsnotes a Farewell to Arms,"First published November 7, 2001",Adam Sexton,,4.50,2 ratings,ebook,27,,,
1368,American Short Stories – Best Books Boxed Set: 50+ Classics of American Literature,"Published October 26, 2020",O. Henry,,4.50,2 ratings,"1805 pages, Kindle Edition",28,,,
1369,Die Paris Review 01.,"First published January 1, 2011",Dorothy Parker,,4.50,2 ratings,Paperback,29,German,,
1370,Secret Agents: The World's Greatest Spy Stories,"Published January 1, 1954",Kurt Singer,,3.00,3 ratings,"156 pages, Paperback",30,,,
1371,เรื่องสั้นโนเบล ชุดที่ 13 ปลิ้น หมายเลข 13,"Published March 1, 2013",Gabriel García Márquez,,4.00,2 ratings,"256 pages, Paperback",1,,,
1372,กิมเพลจอมโง่,"First published January 1, 2008",วิมล กุณราชา,,4.00,2 ratings,304 pages,3,Thai,,
1373,Crónicas de Norteamérica,"First published January 1, 1967",William Faulkner,,4.00,2 ratings,"297 pages, Paperback",5,,,
1374,เรื่องสั้นโนเบล ชุดที่ 10 เรื่องมันยาว,"Published April 1, 2012",Various,,4.00,2 ratings,"184 pages, Paperback",6,Thai,,
1375,Antología de la novela corta universal,"Published October 2, 1973",Camilo José Cela,,3.50,2 ratings,"363 pages, Hardcover",7,Spanish; Castilian,,
1376,Nursing Stories,"First published January 1, 1979",Ann Monroe Currah,,2.00,3 ratings,"351 pages, Hardcover",8,English,,
1377,Paris in Mind Three Centuries of Americans Writing about Paris,"First published January 1, 2008",Irwin Shaw,,3.00,2 ratings,"261 pages, Paperback",9,,,
1378,Of Men and Animals Six Modernist Short Stories,"First published January 1, 2007",Katherine Mansfield,,3.00,2 ratings,158 pages,10,,,
1379,"The World in Literature, Volume 2: The Modern World","First published January 1, 1967",George Kumler Anderson,,3.00,2 ratings,"1159 pages, Hardcover",11,,,
1380,De hardste verhalen,"First published January 1, 1981",Ed Schilders,,2.00,3 ratings,"384 pages, Paperback",12,Dutch; Flemish,,
1381,Short: Volume One: A Dozen Classic Short Stories,"Published October 17, 2023",Various,,5.00,1 rating,"202 pages, Paperback",13,English,,
1382,Memoirs of Kiki. The Education of a French Model,"Published January 1, 1964",Kiki,,5.00,1 rating,Paperback,14,,,
1383,Reporting World War II (Two Volume Boxed Set Complete),"Published January 1, 1995",Vincent Tubbs Ernie Pyle,,5.00,1 rating,"970 pages, Hardcover",15,,,
1384,Shorts: Volume One: A Dozen Classic Short Stories,"Published October 16, 2023",Various,,5.00,1 rating,"204 pages, Kindle Edition",16,,,
1385,"90 Masterpieces of World Literature (Vol.I): Novels, Poetry, Plays, Short Stories, Essays, Psychology & Philosophy","Published December 5, 2023",Jules Verne,,5.00,1 rating,Kindle Edition,17,,,
1386,"90 Masterpieces of World Literature (Vol.I): Novels, Poetry, Plays, Short Stories, Essays, Psychology & Philosophy","Published December 17, 2023",Jules Verne,,5.00,1 rating,Kindle Edition,18,,,
1387,"Great Voices Audio Collection/Anaïs Nin, Ernest Hemingway, James Joyce, E.E. Cummings","First published November 1, 1993",Cyril Cusack,,5.00,1 rating,"188 pages, Audio Cassette",19,English,,
1388,The Great Gatsby and The Sun Also Rises: The Greatest Works of America's Greatest Novelists,"Published March 4, 2022",F. Scott Fitzgerald,,5.00,1 rating,"418 pages, Kindle Edition",20,,,
1389,American Short Stories – Ultimate Collection,"Published May 7, 2021",O. Henry,,5.00,1 rating,Kindle Edition,22,,,
1390,Cuentos del siglo XX,"First published January 1, 1972",Luis Gregorich,,5.00,1 rating,"142 pages, Paperback",23,,,
1391,The Best Short Stories 1940: English and American,"First published January 1, 1941",Edward Joseph Harrington O'Brien,,2.50,2 ratings,"418 pages, Hardcover",24,,,
1392,Maestros de la literatura universal Norteamerica 1,"Published January 1, 1984",Edgar Allan Poe,,5.00,1 rating,"690 pages, Hardcover",25,Spanish; Castilian,,
1393,Cronicas de America,"Published February 1, 1966",Julio Cortázar,,2.50,2 ratings,"124 pages, Unknown Binding",26,,,
1394,Vencil Nr. 4/2008,"Published January 1, 2008",Arnbjørn Ólavsson Dalsgarð,,5.00,1 rating,"96 pages, Paperback",27,,,
1395,The Greatest Mysteries of All Time: Volume #4,"First published October 1, 1997",Otto Penzler,,2.50,2 ratings,Audible Audio,28,,,
1396,The Sun Also Rises,"First published January 1, 2010",KnowledgeNotes,,5.00,1 rating,ebook,29,,,
1397,Monarch Notes Ernest Hemingway's A Farewell To Arms,"First published January 1, 1997",Lawrence Hadfield Klibbe,,5.00,1 rating,"74 pages, Paperback",30,English,,
1398,Բառերի Գետը,"Published January 1, 2022",Edgar Allan Poe,,5.00,1 rating,"307 pages, Paperback",1,Armenian,,
1399,180 Masterpieces You Should Read Before You Die (Vol.1): A Timeless Journey Through Literary Masterpieces,"Published December 13, 2023",Jules Verne,,5.00,1 rating,Kindle Edition,2,,,
1400,"Love Stories, Volume 2","First published May 20, 2020",Charles Reade,,4.00,1 rating,"6 pages, Audiobook",3,,,
1401,Lettere,"Published March 7, 2023",Patrick Hemingway,,4.00,1 rating,"312 pages, Hardcover",4,Italian,,
1402,In Our Time,"Published October 11, 2007",SparkNotes,,4.00,1 rating,Downloadable Spark Note,5,,,
1403,Üvegkisasszony arcképe: Modern amerikai elbeszélések,"First published January 1, 1997",Ferencz Győző,,4.00,1 rating,"304 pages, Paperback",6,Hungarian,,
1404,Critical Insights: The Sun Also Rises,"First published June 15, 2012",Keith Newlin,,4.00,1 rating,"374 pages, Kindle Edition",7,English,,
1405,The Avon Short Story Annual 1945,"Published January 1, 1945",W. Somerset Maugham,,3.00,1 rating,"197 pages, Paperback",8,,,
1406,رؤياهاي بيداري - دفتر دوم,"Published January 1, 2015",Truman Capote,,3.00,1 rating,294 pages,10,Persian,,
1407,Suicidas: Antología,"Published January 1, 2003",Guy de Maupassant,,3.00,1 rating,"301 pages, Paperback",12,,,
1408,Die Kunst seine Ziele zu erreichen,"First published July 27, 2013",Philipp Reinhard,,3.00,1 rating,"218 pages, Kindle Edition",13,,,
